User_ID,Driver_Name,City,Ride_Date,Hour_of_Day,Day_of_Week,Distance_km,Traffic_Level,Type_of_vehicle,No_of_active_drivers,Ride_Requests,Demand_Supply_Ratio,Trip_Duration,Base_Fare,Surge_Multiplier,Final_Fare
USER-21819-Bcbf,Patrick Sanchez,Pune,05-11-2025,0,Friday,26.21,Low,Hatchback,36,67,1.86,60,354.52,1.3,460.88
USER-79402-SBvr,Meredith Barnes,Mumbai,13-10-2025,2,Friday,21.08,High,Auto,9,17,1.89,50,282.96,1.3,367.85
USER-40781-yfJs,Ian Cooper,Bengaluru,16-06-2026,6,Sunday,25.34,High,Hatchback,94,149,1.59,75,344.08,1.3,447.3
USER-41316-rDOx,Amber Perez,Mumbai,15-10-2025,0,Monday,26.8,High,Auto,25,188,7.52,76,351.6,1.6,562.56
USER-76483-RuXX,Kimberly Sanchez,Chennai,06-09-2025,10,Friday,4.48,High,SUV,53,34,0.64,18,133.76,1.0,133.76
USER-53767-jqip,Thomas Bradley,Delhi,16-05-2026,1,Sunday,25.81,Jam,Hatchback,73,41,0.56,97,349.72,1.0,349.72
USER-71012-OkYR,Zachary Taylor,Hyderabad,18-01-2026,9,Monday,29.2,Jam,Hatchback,84,102,1.21,86,390.4,1.1,429.44
USER-01845-hsBk,Tricia Valencia,Hyderabad,30-01-2026,9,Friday,34.5,High,Hatchback,34,35,1.03,97,454.0,1.0,454.0
USER-89325-WkIX,Ashley Garrett,Mumbai,20-07-2026,11,Tuesday,6.53,High,SUV,50,63,1.26,22,158.36,1.3,205.87
USER-43039-ffUF,Jack Galloway,Bengaluru,11-06-2026,23,Monday,9.32,Medium,Bike,64,107,1.67,32,126.84,1.2,152.21
USER-96383-TtzQ,Joshua Baker,Pune,11-04-2026,1,Sunday,8.79,Jam,Auto,9,90,10.0,25,135.48,1.6,216.77
USER-39301-TOdo,George Chapman,Mumbai,11-09-2025,22,Tuesday,11.7,High,Auto,88,137,1.56,39,170.4,1.1,187.44
USER-29973-YEZA,Michael Lewis,Chennai,26-10-2025,23,Saturday,20.09,Jam,Sedan,38,159,4.18,61,291.08,1.7,494.84
USER-10651-pmmI,Scott Brown,Hyderabad,28-01-2026,4,Sunday,18.32,High,SUV,16,22,1.38,64,299.84,1.3,389.79
USER-81080-fWpk,Angela Morton,Mumbai,12-01-2026,13,Friday,21.28,Jam,Auto,54,107,1.98,70,285.36,1.3,370.97
USER-74687-jmsn,William Baker,Mumbai,06-08-2026,0,Saturday,24.13,Low,Sedan,19,184,9.68,86,339.56,1.9,645.16
USER-82081-leMe,John Calhoun,Bengaluru,21-04-2026,9,Wednesday,15.78,Low,Hatchback,63,10,0.16,60,229.36,1.0,229.36
USER-99854-nQTu,Amanda Miller,Mumbai,12-11-2025,5,Saturday,18.26,High,SUV,18,170,9.44,54,299.12,1.8,538.42
USER-99118-nGqi,Taylor Smith,Delhi,24-07-2026,5,Monday,19.34,Medium,Sedan,72,10,0.14,65,282.08,1.0,282.08
USER-27849-ZPHa,,Delhi,18-04-2026,11,Monday,30.88,Low,Bike,44,71,1.61,67,385.56,1.1,424.12
USER-44935-nROq,Brian Tran,Delhi,18-02-2026,2,Wednesday,34.25,Low,Auto,73,42,0.58,84,441.0,1.0,441.0
USER-24278-TBJa,Donald Smith,Pune,27-09-2025,5,Saturday,10.01,Medium,Hatchback,82,118,1.44,44,160.12,1.3,208.16
USER-20450-wnRp,Lauren Hernandez,Bengaluru,18-04-2026,22,Thursday,11.6,Jam,Hatchback,90,176,1.96,39,179.2,1.2,215.04
USER-26025-YAZQ,Timothy Hancock,Pune,29-06-2026,2,Sunday,12.49,High,Bike,80,151,1.89,34,164.88,1.1,181.37
USER-33754-Yoob,Shane Garrison,Pune,15-04-2026,1,Saturday,8.78,High,Auto,9,94,10.44,23,135.36,1.6,216.58
USER-85014-lLqc,Jordan Frazier,Delhi,26-09-2025,17,Wednesday,5.5,High,SUV,78,157,2.01,23,146.0,1.9,277.4
USER-06088-RUVV,Mrs. Stephanie Lee,Chennai,19-04-2026,3,Friday,23.41,Low,Sedan,50,118,2.36,63,330.92,1.8,595.66
USER-48465-zSsJ,Ryan Cortez,Chennai,02-10-2025,3,Friday,3.06,Jam,Bike,98,96,0.98,12,51.72,1.0,51.72
USER-44369-MPuD,Jennifer Bass,Chennai,25-01-2026,6,Friday,19.23,Jam,Bike,22,118,5.36,52,245.76,1.6,393.22
USER-51343-Zmjb,Jose Schultz,Pune,03-09-2025,14,Friday,28.47,Low,SUV,75,35,0.47,69,421.64,1.0,421.64
USER-67632-PSaW,Laura Higgins,Hyderabad,27-06-2026,2,Friday,32.5,Jam,Bike,35,52,1.49,93,405.0,1.2,486.0
USER-83172-ZDQH,Melissa Marshall,Mumbai,13-08-2026,1,Saturday,6.6,Jam,Hatchback,5,109,21.8,24,119.2,1.6,190.72
USER-72774-WpOr,Jessica Meadows,Pune,24-05-2026,23,Friday,34.84,Medium,Sedan,76,179,2.36,111,468.08,1.6,748.93
USER-58122-oySj,Dustin Nelson,Hyderabad,02-05-2026,1,Tuesday,20.69,Jam,Sedan,74,25,0.34,66,298.28,1.0,298.28
USER-69096-Eawt,Antonio Wall,Chennai,19-05-2026,15,Monday,18.1,Jam,Hatchback,72,50,0.69,47,257.2,1.0,257.2
USER-73467-byvQ,Rebecca Hurst,Pune,22-04-2026,5,Monday,3.33,Medium,SUV,13,182,14.0,18,119.96,1.6,191.94
